chr	start	end	JLDS017
chr1	1920000	1930000	0.755
chr1	1930000	1940000	0.658
chr1	1940000	1950000	0.772
chr1	1950000	1960000	0.478
chr1	1960000	1970000	0.855
chr1	1970000	1980000	0.545
chr1	1980000	1990000	0.469
chr1	1990000	2000000	0.897
chr1	2000000	2010000	0.620
chr1	2010000	2020000	0.786
chr1	2020000	2030000	0.740
chr1	2030000	2040000	0.749
chr1	2040000	2050000	0.685
chr1	2050000	2060000	0.528
chr1	2060000	2070000	0.492
chr1	2070000	2080000	0.839
chr1	2080000	2090000	0.812
chr1	2090000	2100000	0.876
chr1	2100000	2110000	0.829
chr1	2110000	2120000	0.825
chr1	2120000	2130000	0.424
chr1	2130000	2140000	0.523
chr1	2140000	2150000	0.605
chr1	2150000	2160000	0.325
chr1	2160000	2170000	0.155
chr1	2170000	2180000	0.551
chr1	2180000	2190000	0.674
chr1	2190000	2200000	0.690
chr1	2200000	2210000	0.701
chr1	2210000	2220000	0.787
chr1	2220000	2230000	0.665
chr1	2230000	2240000	0.619
chr1	2240000	2250000	0.559
chr1	2250000	2260000	0.766
chr1	2260000	2270000	0.890
chr1	2270000	2280000	0.906
chr1	2280000	2290000	0.889
chr1	2290000	2300000	0.899
chr1	2300000	2310000	0.904
chr1	2310000	2320000	0.751
chr1	2320000	2330000	0.415
chr1	2330000	2340000	0.800
chr1	2340000	2350000	0.408
chr1	2350000	2360000	0.831
chr1	2360000	2370000	0.778
chr1	2370000	2380000	0.479
chr1	2380000	2390000	0.749
chr1	2390000	2400000	0.575
chr1	2400000	2410000	0.716
chr1	2410000	2420000	0.862
chr1	2420000	2430000	0.796
chr1	2430000	2440000	0.707
chr1	2440000	2450000	0.915
chr1	2450000	2460000	0.509
chr1	2460000	2470000	0.324
chr1	2470000	2480000	0.319
chr1	2480000	2490000	0.708
chr1	2490000	2500000	0.898
chr1	2500000	2510000	0.870
chr1	2510000	2520000	0.318
chr1	2520000	2530000	0.847
chr1	2530000	2540000	0.841
chr1	2540000	2550000	0.727
chr1	2550000	2560000	0.707
chr1	2560000	2570000	0.530
chr1	2570000	2580000	0.518
chr1	2580000	2590000	0.487
chr1	2610000	2620000	0.440
chr1	2620000	2630000	0.416
chr1	2630000	2640000	0.486
chr1	2680000	2690000	0.265
chr1	2690000	2700000	0.654
chr1	2700000	2710000	0.490
chr1	2710000	2720000	0.828
chr1	2720000	2730000	0.855
chr1	2730000	2740000	0.819
chr1	2740000	2750000	0.898
chr1	2750000	2760000	0.870
chr1	2760000	2770000	0.823
chr1	2770000	2780000	0.832
chr1	2780000	2790000	0.863
chr1	2790000	2800000	0.796
chr1	2800000	2810000	0.872
chr1	2810000	2820000	0.937
chr1	2820000	2830000	0.834
chr1	2830000	2840000	0.869
chr1	2840000	2850000	0.850
chr1	2850000	2860000	0.924
chr1	2860000	2870000	0.807
chr1	2870000	2880000	0.920
chr1	2880000	2890000	0.823
chr1	2890000	2900000	0.789
chr1	2900000	2910000	0.863
chr1	2910000	2920000	0.836
chr1	2920000	2930000	0.644
chr1	2930000	2940000	0.885
chr1	2940000	2950000	0.857
chr1	2950000	2960000	0.841
chr1	2960000	2970000	0.894
chr1	2970000	2980000	0.718
chr1	2980000	2990000	0.200
chr1	2990000	3000000	0.676
chr1	3000000	3010000	0.849
chr1	3010000	3020000	0.859
chr1	3020000	3030000	0.777
chr1	3030000	3040000	0.840
chr1	3040000	3050000	0.802
chr1	3050000	3060000	0.776
chr1	3060000	3070000	0.845
chr1	3070000	3080000	0.692
chr1	3080000	3090000	0.708
chr1	3090000	3100000	0.867
chr1	3100000	3110000	0.818
chr1	3110000	3120000	0.888
chr1	3120000	3130000	0.797
chr1	3130000	3140000	0.708
chr1	3140000	3150000	0.845
chr1	3150000	3160000	0.879
chr1	3160000	3170000	0.741
chr1	3170000	3180000	0.856
chr1	3180000	3190000	0.885
chr1	3190000	3200000	0.871
chr1	3200000	3210000	0.830
chr1	3210000	3220000	0.887
chr1	3220000	3230000	0.802
chr1	3230000	3240000	0.638
chr1	3240000	3250000	0.813
chr1	3250000	3260000	0.826
chr1	3260000	3270000	0.640
chr1	3270000	3280000	0.814
chr1	3280000	3290000	0.774
chr1	3290000	3300000	0.904
chr1	3300000	3310000	0.829
chr1	3310000	3320000	0.617
chr1	3320000	3330000	0.871
chr1	3330000	3340000	0.904
chr1	3340000	3350000	0.826
chr1	3350000	3360000	0.846
chr1	3360000	3370000	0.801
chr1	3370000	3380000	0.623
chr1	3380000	3390000	0.878
chr1	3390000	3400000	0.853
chr1	3400000	3410000	0.747
chr1	3410000	3420000	0.892
chr1	3420000	3430000	0.875
chr1	3430000	3440000	0.924
chr1	3440000	3450000	0.634
chr1	3450000	3460000	0.865
chr1	3460000	3470000	0.874
chr1	3470000	3480000	0.883
chr1	3480000	3490000	0.900
chr1	3490000	3500000	0.868
chr1	3500000	3510000	0.857
chr1	3510000	3520000	0.781
chr1	3520000	3530000	0.576
chr1	3530000	3540000	0.755
chr1	3540000	3550000	0.426
chr1	3550000	3560000	0.935
chr1	3560000	3570000	0.326
chr1	3570000	3580000	0.872
chr1	3580000	3590000	0.831
chr1	3590000	3600000	0.847
chr1	3600000	3610000	0.832
chr1	3610000	3620000	0.838
chr1	3620000	3630000	0.750
chr1	3630000	3640000	0.750
chr1	3640000	3650000	0.717
chr1	3650000	3660000	0.918
chr1	3660000	3670000	0.509
chr1	3670000	3680000	0.872
chr1	3680000	3690000	0.583
chr1	3690000	3700000	0.757
chr1	3700000	3710000	0.858
chr1	3710000	3720000	0.365
chr1	3720000	3730000	0.846
chr1	3730000	3740000	0.873
chr1	3740000	3750000	0.893
chr1	3750000	3760000	0.903
chr1	3760000	3770000	0.891
chr1	3770000	3780000	0.336
chr1	3780000	3790000	0.914
chr1	3790000	3800000	0.931
chr1	3800000	3810000	0.788
chr1	3810000	3820000	0.349
chr1	3820000	3830000	0.794
chr1	3830000	3840000	0.900
chr1	3840000	3850000	0.865
chr1	3990000	4000000	0.841
chr1	4000000	4010000	0.829
chr1	4010000	4020000	0.762
chr1	4020000	4030000	0.903
chr1	4030000	4040000	0.869
chr1	4040000	4050000	0.887
chr1	4050000	4060000	0.869
chr1	4060000	4070000	0.871
chr1	4070000	4080000	0.724
chr1	4080000	4090000	0.821
chr1	4090000	4100000	0.790
chr1	4100000	4110000	0.852
chr1	4110000	4120000	0.883
chr1	4120000	4130000	0.848
chr1	4130000	4140000	0.853
chr1	4140000	4150000	0.782
chr1	4150000	4160000	0.878
chr1	4160000	4170000	0.808
chr1	4170000	4180000	0.833
chr1	4180000	4190000	0.898
chr1	4190000	4200000	0.854
chr1	4200000	4210000	0.902
chr1	4210000	4220000	0.894
chr1	4220000	4230000	0.828
chr1	4230000	4240000	0.779
chr1	4240000	4250000	0.911
chr1	4260000	4270000	0.895
chr1	4270000	4280000	0.789
chr1	4280000	4290000	0.887
chr1	4290000	4300000	0.908
chr1	4310000	4320000	0.863
chr1	4320000	4330000	0.864
chr1	4330000	4340000	0.811
chr1	4340000	4350000	0.885
chr1	4350000	4360000	0.927
chr1	4360000	4370000	0.820
chr1	4370000	4380000	0.872
chr1	4380000	4390000	0.909
chr1	4390000	4400000	0.912
chr1	4400000	4410000	0.899
chr1	4410000	4420000	0.884
chr1	4420000	4430000	0.913
chr1	4430000	4440000	0.890
chr1	4440000	4450000	0.914
chr1	4450000	4460000	0.762
chr1	4460000	4470000	0.842
chr1	4470000	4480000	0.887
chr1	4480000	4490000	0.844
chr1	4490000	4500000	0.870
chr1	4500000	4510000	0.876
chr1	4510000	4520000	0.915
chr1	4520000	4530000	0.900
chr1	4530000	4540000	0.918
chr1	4540000	4550000	0.842
chr1	4550000	4560000	0.856
chr1	4560000	4570000	0.876
chr1	4570000	4580000	0.839
chr1	4580000	4590000	0.727
chr1	4590000	4600000	0.871
chr1	4600000	4610000	0.904
chr1	4610000	4620000	0.848
chr1	4620000	4630000	0.809
chr1	4630000	4640000	0.855
chr1	4640000	4650000	0.736
chr1	4650000	4660000	0.918
chr1	4660000	4670000	0.784
chr1	4670000	4680000	0.885
chr1	4680000	4690000	0.902
chr1	4690000	4700000	0.851
chr1	4700000	4710000	0.913
chr1	4710000	4720000	0.126
chr1	4720000	4730000	0.813
chr1	4730000	4740000	0.770
chr1	4740000	4750000	0.726
chr1	4750000	4760000	0.782
chr1	4760000	4770000	0.709
chr1	4770000	4780000	0.698
chr1	4780000	4790000	0.801
chr1	4790000	4800000	0.700
chr1	4800000	4810000	0.885
chr1	4810000	4820000	0.826
chr1	4820000	4830000	0.899
chr1	4830000	4840000	0.827
chr1	4840000	4850000	0.929
chr1	4850000	4860000	0.834
chr1	4860000	4870000	0.705
chr1	4880000	4890000	0.904
chr1	4890000	4900000	0.787
chr1	4900000	4910000	0.905
chr1	4910000	4920000	0.884
chr1	4920000	4930000	0.873
chr1	4930000	4940000	0.905
chr1	4940000	4950000	0.806
chr1	4950000	4960000	0.858
chr1	4960000	4970000	0.913
chr1	4970000	4980000	0.878
chr1	4980000	4990000	0.911
chr1	4990000	5000000	0.859
chr1	5000000	5010000	0.904
chr1	5010000	5020000	0.916
chr1	5020000	5030000	0.863
chr1	5030000	5040000	0.904
chr1	5040000	5050000	0.896
chr1	5050000	5060000	0.931
chr1	5060000	5070000	0.784
chr1	5070000	5080000	0.889
chr1	5080000	5090000	0.885
chr1	5090000	5100000	0.842
chr1	5100000	5110000	0.912
chr1	5130000	5140000	0.858
chr1	5140000	5150000	0.883
chr1	5150000	5160000	0.803
chr1	5160000	5170000	0.824
chr1	5170000	5180000	0.838
chr1	5180000	5190000	0.894
chr1	5190000	5200000	0.846
chr1	5200000	5210000	0.785
chr1	5210000	5220000	0.730
chr1	5220000	5230000	0.869
chr1	5230000	5240000	0.886
chr1	5240000	5250000	0.774
chr1	5250000	5260000	0.879
chr1	5260000	5270000	0.885
chr1	5270000	5280000	0.887
chr1	5280000	5290000	0.835
chr1	5290000	5300000	0.768
chr1	5300000	5310000	0.843
chr1	5310000	5320000	0.897
chr1	5320000	5330000	0.818
chr1	5330000	5340000	0.911
chr1	5340000	5350000	0.845
chr1	5350000	5360000	0.782
chr1	5360000	5370000	0.866
chr1	5370000	5380000	0.864
chr1	5380000	5390000	0.914
chr1	5390000	5400000	0.871
chr1	5400000	5410000	0.897
chr1	5410000	5420000	0.860
chr1	5420000	5430000	0.869
chr1	5430000	5440000	0.917
chr1	5440000	5450000	0.832
chr1	5450000	5460000	0.834
chr1	5460000	5470000	0.892
chr1	5470000	5480000	0.923
chr1	5480000	5490000	0.829
chr1	5490000	5500000	0.918
chr1	5500000	5510000	0.876
chr1	5510000	5520000	0.843
chr1	5520000	5530000	0.885
chr1	5530000	5540000	0.849
chr1	5540000	5550000	0.862
chr1	5550000	5560000	0.797
chr1	5560000	5570000	0.824
chr1	5570000	5580000	0.745
chr1	5580000	5590000	0.830
chr1	5590000	5600000	0.817
chr1	5610000	5620000	0.846
chr1	5620000	5630000	0.847
chr1	5630000	5640000	0.878
chr1	5640000	5650000	0.882
chr1	5650000	5660000	0.824
chr1	5660000	5670000	0.898
chr1	5670000	5680000	0.880
chr1	5680000	5690000	0.914
chr1	5690000	5700000	0.814
chr1	5700000	5710000	0.872
chr1	5710000	5720000	0.875
chr1	5720000	5730000	0.770
chr1	5730000	5740000	0.742
chr1	5740000	5750000	0.779
chr1	5750000	5760000	0.828
chr1	5760000	5770000	0.864
chr1	5770000	5780000	0.810
chr1	5780000	5790000	0.790
chr1	5790000	5800000	0.928
chr1	5800000	5810000	0.711
chr1	5810000	5820000	0.808
chr1	5820000	5830000	0.859
chr1	5830000	5840000	0.796
chr1	5840000	5850000	0.903
chr1	5850000	5860000	0.843
chr1	5860000	5870000	0.914
chr1	5870000	5880000	0.820
chr1	5880000	5890000	0.856
chr1	5890000	5900000	0.821
chr1	5900000	5910000	0.798
chr1	5910000	5920000	0.899
chr1	5920000	5930000	0.885
chr1	5930000	5940000	0.928
chr1	5940000	5950000	0.885
chr1	5950000	5960000	0.854
chr1	5960000	5970000	0.916
chr1	5970000	5980000	0.905
chr1	5980000	5990000	0.930
chr1	5990000	6000000	0.879
chr1	6000000	6010000	0.888
chr1	6010000	6020000	0.939
chr1	6020000	6030000	0.873
chr1	6030000	6040000	0.893
chr1	6040000	6050000	0.732
chr1	6050000	6060000	0.350
chr1	6060000	6070000	0.762
chr1	6070000	6080000	0.806
chr1	6080000	6090000	0.846
chr1	6090000	6100000	0.683
chr1	6100000	6110000	0.850
chr1	6110000	6120000	0.715
chr1	6120000	6130000	0.874
chr1	6130000	6140000	0.875
chr1	6140000	6150000	0.676
chr1	6150000	6160000	0.849
chr1	6160000	6170000	0.692
chr1	6170000	6180000	0.788
chr1	6180000	6190000	0.745
chr1	6190000	6200000	0.870
chr1	6200000	6210000	0.635
chr1	6210000	6220000	0.799
chr1	6220000	6230000	0.608
chr1	6230000	6240000	0.423
chr1	6240000	6250000	0.352
chr1	6250000	6260000	0.468
chr1	6260000	6270000	0.263
chr1	6270000	6280000	0.902
chr1	6280000	6290000	0.895
chr1	6290000	6300000	0.461
chr1	6300000	6310000	0.169
chr1	6310000	6320000	0.806
chr1	6320000	6330000	0.412
chr1	6330000	6340000	0.748
chr1	6340000	6350000	0.899
chr1	6350000	6360000	0.862
chr1	6360000	6370000	0.874
chr1	6370000	6380000	0.910
chr1	6380000	6390000	0.861
chr1	6390000	6400000	0.694
chr1	6400000	6410000	0.815
chr1	6410000	6420000	0.706
chr1	6420000	6430000	0.850
chr1	6430000	6440000	0.905
chr1	6440000	6450000	0.830
chr1	6450000	6460000	0.329
chr1	6460000	6470000	0.838
chr1	6470000	6480000	0.398
chr1	6480000	6490000	0.342
chr1	6490000	6500000	0.674
chr1	6500000	6510000	0.282
chr1	6510000	6520000	0.347
chr1	6520000	6530000	0.768
chr1	6530000	6540000	0.798
chr1	6540000	6550000	0.563
chr1	6550000	6560000	0.239
chr1	6560000	6570000	0.717
chr1	6570000	6580000	0.841
chr1	6580000	6590000	0.829
chr1	6590000	6600000	0.919
chr1	6600000	6610000	0.864
chr1	6610000	6620000	0.456
chr1	6620000	6630000	0.911
chr1	6630000	6640000	0.725
chr1	6640000	6650000	0.564
chr1	6650000	6660000	0.850
chr1	6660000	6670000	0.198
chr1	6670000	6680000	0.172
chr1	6680000	6690000	0.544
chr1	6690000	6700000	0.796
chr1	6700000	6710000	0.932
chr1	6710000	6720000	0.883
chr1	6720000	6730000	0.948
chr1	6730000	6740000	0.955
chr1	6740000	6750000	0.946
chr1	6750000	6760000	0.899
chr1	6760000	6770000	0.392
chr1	6770000	6780000	0.919
chr1	6780000	6790000	0.849
chr1	6790000	6800000	0.806
chr1	6800000	6810000	0.831
chr1	6810000	6820000	0.925
chr1	6820000	6830000	0.920
chr1	6830000	6840000	0.867
chr1	6840000	6850000	0.240
chr1	6850000	6860000	0.915
chr1	6860000	6870000	0.933
chr1	6870000	6880000	0.951
chr1	6880000	6890000	0.942
chr1	6890000	6900000	0.955
chr1	6900000	6910000	0.920
chr1	6910000	6920000	0.962
chr1	6920000	6930000	0.944
chr1	6930000	6940000	0.955
chr1	6940000	6950000	0.888
chr1	6950000	6960000	0.844
chr1	6960000	6970000	0.872
chr1	6970000	6980000	0.837
chr1	6980000	6990000	0.815
chr1	6990000	7000000	0.819
chr1	7000000	7010000	0.915
chr1	7010000	7020000	0.834
chr1	7020000	7030000	0.627
chr1	7030000	7040000	0.859
chr1	7040000	7050000	0.841
chr1	7050000	7060000	0.936
chr1	7060000	7070000	0.918
chr1	7070000	7080000	0.878
chr1	7080000	7090000	0.896
chr1	7090000	7100000	0.906
chr1	7100000	7110000	0.820
chr1	7110000	7120000	0.878
chr1	7120000	7130000	0.901
chr1	7130000	7140000	0.579
chr1	7140000	7150000	0.865
chr1	7150000	7160000	0.872
chr1	7160000	7170000	0.859
chr1	7170000	7180000	0.818
chr1	7180000	7190000	0.859
chr1	7190000	7200000	0.911
chr1	7200000	7210000	0.817
chr1	7210000	7220000	0.872
chr1	7220000	7230000	0.888
chr1	7230000	7240000	0.804
chr1	7240000	7250000	0.850
chr1	7250000	7260000	0.836
chr1	7260000	7270000	0.903
chr1	7270000	7280000	0.877
chr1	7280000	7290000	0.904
chr1	7290000	7300000	0.934
chr1	7300000	7310000	0.848
chr1	7310000	7320000	0.933
chr1	7320000	7330000	0.745
chr1	7330000	7340000	0.867
chr1	7340000	7350000	0.921
chr1	7350000	7360000	0.694
chr1	7360000	7370000	0.867
chr1	7370000	7380000	0.884
chr1	7380000	7390000	0.954
chr1	7390000	7400000	0.921
chr1	7400000	7410000	0.882
chr1	7410000	7420000	0.894
chr1	7420000	7430000	0.897
chr1	7430000	7440000	0.812
chr1	7440000	7450000	0.664
chr1	7450000	7460000	0.919
chr1	7460000	7470000	0.921
chr1	7470000	7480000	0.923
chr1	7480000	7490000	0.908
chr1	7490000	7500000	0.928
chr1	7500000	7510000	0.926
chr1	7510000	7520000	0.839
chr1	7520000	7530000	0.924
chr1	7530000	7540000	0.868
chr1	7540000	7550000	0.932
chr1	7550000	7560000	0.866
chr1	7560000	7570000	0.864
chr1	7570000	7580000	0.907
chr1	7580000	7590000	0.921
chr1	7590000	7600000	0.853
chr1	7600000	7610000	0.868
chr1	7610000	7620000	0.768
chr1	7620000	7630000	0.868
chr1	7630000	7640000	0.874
chr1	7640000	7650000	0.864
chr1	7650000	7660000	0.859
chr1	7660000	7670000	0.859
chr1	7670000	7680000	0.808
chr1	7680000	7690000	0.833
chr1	7690000	7700000	0.890
chr1	7700000	7710000	0.815
chr1	7710000	7720000	0.879
chr1	7720000	7730000	0.805
chr1	7730000	7740000	0.844
chr1	7740000	7750000	0.514
chr1	7750000	7760000	0.894
chr1	7760000	7770000	0.135
chr1	7770000	7780000	0.889
chr1	7780000	7790000	0.776
chr1	7790000	7800000	0.869
chr1	7800000	7810000	0.922
chr1	7810000	7820000	0.796
chr1	7820000	7830000	0.754
chr1	7830000	7840000	0.271
chr1	7840000	7850000	0.243
chr1	7850000	7860000	0.897
chr1	7860000	7870000	0.926
chr1	7870000	7880000	0.920
chr1	7880000	7890000	0.909
chr1	7890000	7900000	0.902
chr1	7900000	7910000	0.925
chr1	7910000	7920000	0.876
chr1	7920000	7930000	0.931
chr1	7930000	7940000	0.929
chr1	7940000	7950000	0.638
chr1	7950000	7960000	0.887
chr1	7960000	7970000	0.819
chr1	7970000	7980000	0.880
chr1	7980000	7990000	0.936
chr1	7990000	8000000	0.891
chr1	8000000	8010000	0.605
chr1	8010000	8020000	0.512
chr1	8020000	8030000	0.288
chr1	8030000	8040000	0.915
chr1	8040000	8050000	0.820
chr1	8050000	8060000	0.933
chr1	8060000	8070000	0.866
chr1	8070000	8080000	0.810
chr1	8080000	8090000	0.162
chr1	8090000	8100000	0.938
chr1	8100000	8110000	0.883
chr1	8110000	8120000	0.922
chr1	8120000	8130000	0.949
chr1	8130000	8140000	0.901
chr1	8140000	8150000	0.891
chr1	8150000	8160000	0.869
chr1	8160000	8170000	0.950
chr1	8170000	8180000	0.868
chr1	8180000	8190000	0.866
chr1	8190000	8200000	0.892
chr1	8200000	8210000	0.957
chr1	8210000	8220000	0.885
chr1	8220000	8230000	0.855
chr1	8230000	8240000	0.919
chr1	8240000	8250000	0.944
chr1	8250000	8260000	0.912
chr1	8260000	8270000	0.922
chr1	8270000	8280000	0.628
chr1	8280000	8290000	0.917
chr1	8290000	8300000	0.925
chr1	8300000	8310000	0.920
chr1	8310000	8320000	0.921
chr1	8320000	8330000	0.880
chr1	8330000	8340000	0.921
chr1	8340000	8350000	0.884
chr1	8350000	8360000	0.913
chr1	8360000	8370000	0.815
chr1	8370000	8380000	0.462
chr1	8380000	8390000	0.885
chr1	8390000	8400000	0.911
chr1	8400000	8410000	0.826
chr1	8410000	8420000	0.798
chr1	8420000	8430000	0.793
chr1	8430000	8440000	0.544
chr1	8440000	8450000	0.753
chr1	8450000	8460000	0.767
chr1	8460000	8470000	0.855
chr1	8470000	8480000	0.710
chr1	8480000	8490000	0.202
chr1	8490000	8500000	0.779
chr1	8500000	8510000	0.867
chr1	8510000	8520000	0.873
chr1	8520000	8530000	0.729
chr1	8530000	8540000	0.850
chr1	8540000	8550000	0.922
chr1	8550000	8560000	0.814
chr1	8560000	8570000	0.867
chr1	8570000	8580000	0.707
chr1	8580000	8590000	0.593
chr1	8590000	8600000	0.914
chr1	8600000	8610000	0.944
chr1	8610000	8620000	0.851
chr1	8620000	8630000	0.920
chr1	8630000	8640000	0.920
chr1	8640000	8650000	0.914
chr1	8650000	8660000	0.573
chr1	8660000	8670000	0.865
chr1	8670000	8680000	0.934
chr1	8680000	8690000	0.673
chr1	8690000	8700000	0.888
chr1	8710000	8720000	0.797
chr1	8720000	8730000	0.672
chr1	8730000	8740000	0.895
chr1	8740000	8750000	0.843
chr1	8750000	8760000	0.954
chr1	8760000	8770000	0.228
chr1	8770000	8780000	0.906
chr1	8780000	8790000	0.814
chr1	8790000	8800000	0.933
chr1	8800000	8810000	0.932
chr1	8810000	8820000	0.913
chr1	8820000	8830000	0.919
chr1	8830000	8840000	0.953
chr1	8840000	8850000	0.951
chr1	8850000	8860000	0.889
chr1	8860000	8870000	0.960
chr1	8870000	8880000	0.230
chr1	8880000	8890000	0.915
chr1	8890000	8900000	0.898
chr1	8900000	8910000	0.820
chr1	8910000	8920000	0.880
chr1	8920000	8930000	0.795
chr1	8930000	8940000	0.188
chr1	8940000	8950000	0.884
chr1	8950000	8960000	0.914
chr1	8960000	8970000	0.912
chr1	8970000	8980000	0.851
chr1	8980000	8990000	0.936
chr1	8990000	9000000	0.923
chr1	9000000	9010000	0.844
chr1	9010000	9020000	0.932
chr1	9020000	9030000	0.915
chr1	9030000	9040000	0.957
chr1	9040000	9050000	0.863
chr1	9050000	9060000	0.962
chr1	9060000	9070000	0.875
chr1	9070000	9080000	0.886
chr1	9080000	9090000	0.911
chr1	9090000	9100000	0.828
chr1	9100000	9110000	0.921
chr1	9110000	9120000	0.917
chr1	9120000	9130000	0.841
chr1	9130000	9140000	0.908
chr1	9140000	9150000	0.918
chr1	9150000	9160000	0.939
chr1	9160000	9170000	0.842
chr1	9170000	9180000	0.881
chr1	9180000	9190000	0.454
chr1	9190000	9200000	0.915
chr1	9200000	9210000	0.835
chr1	9210000	9220000	0.857
chr1	9220000	9230000	0.891
chr1	9230000	9240000	0.948
chr1	9240000	9250000	0.342
chr1	9250000	9260000	0.607
chr1	9260000	9270000	0.655
chr1	9270000	9280000	0.901
chr1	9280000	9290000	0.941
chr1	9290000	9300000	0.357
chr1	9300000	9310000	0.841
chr1	9310000	9320000	0.827
chr1	9320000	9330000	0.852
chr1	9330000	9340000	0.880
chr1	9340000	9350000	0.708
chr1	9350000	9360000	0.276
chr1	9360000	9370000	0.878
chr1	9370000	9380000	0.826
chr1	9380000	9390000	0.801
chr1	9390000	9400000	0.875
chr1	9400000	9410000	0.900
chr1	9410000	9420000	0.878
chr1	9420000	9430000	0.883
chr1	9430000	9440000	0.903
chr1	9440000	9450000	0.797
chr1	9450000	9460000	0.875
chr1	9460000	9470000	0.858
chr1	9470000	9480000	0.871
chr1	9480000	9490000	0.629
chr1	9490000	9500000	0.782
chr1	9500000	9510000	0.783
chr1	9510000	9520000	0.885
chr1	9520000	9530000	0.928
chr1	9530000	9540000	0.869
chr1	9540000	9550000	0.920
chr1	9550000	9560000	0.626
chr1	9560000	9570000	0.891
chr1	9570000	9580000	0.909
chr1	9580000	9590000	0.880
chr1	9590000	9600000	0.491
chr1	9600000	9610000	0.573
chr1	9610000	9620000	0.847
chr1	9620000	9630000	0.890
chr1	9630000	9640000	0.929
chr1	9640000	9650000	0.314
chr1	9650000	9660000	0.775
chr1	9660000	9670000	0.875
chr1	9670000	9680000	0.875
chr1	9680000	9690000	0.689
chr1	9690000	9700000	0.915
